final_stage_simple,stage_time_window,HCPCS,n_claims,n_patients,total_cost,total_util,mean_claim_cost,median_claim_cost,cost_per_patient,claims_per_patient,window_total_cost,cost_share_within_window,rank_within_window
I,0_to_90,81519,280,275,1091178.443839563,281.89575979807177,3897.0658708555825,3864.0,3967.9216139620476,1.018181818181818,27764538.48314661,0.039301155482988515,7.0
I,0_to_90,77299,86,86,1065250.8630717057,85.34466230258448,12386.637942694251,10902.5,12386.637942694251,1.0,27764538.48314661,0.038367317494520034,8.0
I,0_to_90,77399,79,79,991853.4987640014,79.35429494189032,12555.107579291158,10902.5,12555.107579291158,1.0,27764538.48314661,0.03572375241771325,9.0
I,0_to_90,36561,360,180,829830.98748946,352.26370958824873,2305.086076359611,450.42,4610.172152719222,2.0,27764538.48314661,0.029888160683570406,10.0
I,post_90,J9355,665,48,5317608.0131186675,546.1261899882361,7996.403027246117,7525.54,110783.50027330557,13.854166666666666,74190712.91633694,0.07167484721592048,1.0
I,post_90,J9354,310,19,4800392.639470491,219.15757790182963,15485.137546679001,11651.592795176199,252652.2441826574,16.31578947368421,74190712.91633694,0.06470341705549826,2.0
I,post_90,J9306,225,26,2763814.2852699943,207.66396608312522,12283.619045644418,11453.92,106300.54943346132,8.653846153846153,74190712.91633694,0.03725283363143687,3.0
I,post_90,J1950,553,48,2684697.948696078,540.3751252431515,4854.788333989291,3607.05818415299,55931.20726450162,11.520833333333334,74190712.91633694,0.03618644225354117,4.0
I,post_90,99214,19709,1276,2177953.56180975,19683.64310992814,110.50553360443197,109.360929603638,1706.860158158111,15.445924764890282,74190712.91633694,0.029356148178084972,5.0
I,post_90,J9271,70,7,1575348.6245871303,68.87899439057676,22504.980351244718,26235.264256625,225049.8035124472,10.0,74190712.91633694,0.02123377121828729,6.0
I,post_90,G0463,9769,1133,1471318.1870815025,9745.387645237692,150.61093121931646,117.547731449386,1298.6038720931178,8.62224183583407,74190712.91633694,0.019831568254919888,7.0
I,post_90,J2505,201,76,1424080.53,179.0,7084.97776119403,7897.77,18737.901710526316,2.6447368421052633,74190712.91633694,0.019194862456786217,8.0
I,post_90,99213,16470,1247,1300462.0893412542,16466.67305130998,78.9594468331059,76.15,1042.8725656305166,13.207698476343223,74190712.91633694,0.017528637186810074,9.0
I,post_90,J0897,572,113,1176440.8982738843,554.6039845159679,2056.7148571221755,1621.125999078955,10410.981400653844,5.061946902654867,74190712.91633694,0.01585698333429587,10.0
II,pre_stage,J2505,184,49,1364371.74,139.0,7415.063804347826,8393.625,27844.321224489795,3.7551020408163267,12257112.808808185,0.11131265260278404,1.0
II,pre_stage,J9355,117,14,972571.61,64.0,8312.577863247863,8653.11,69469.40071428572,8.357142857142858,12257112.808808185,0.07934752866932025,2.0
II,pre_stage,J9306,65,11,669953.8262362335,41.004349973212086,10306.9819420959,10083.91,60904.893294203044,5.909090909090909,12257112.808808185,0.05465837156649096,3.0
II,pre_stage,19083,454,232,502056.42314340215,406.5983241985954,1105.8511522982426,390.5,2164.0363066525956,1.956896551724138,12257112.808808185,0.040960414656754665,4.0
II,pre_stage,36561,141,73,312544.74816643755,139.19637060498133,2216.6294196201243,677.01,4281.434906389555,1.9315068493150684,12257112.808808185,0.025499051288965634,5.0
II,pre_stage,96413,662,72,310455.5818326177,350.03957071024104,468.9661356988183,543.76,4311.883081008579,9.194444444444445,12257112.808808185,0.02532860606533038,6.0
II,pre_stage,J9271,13,2,280474.2383024826,12.01919962707799,21574.941407883274,20898.43,140237.1191512413,6.5,12257112.808808185,0.022882569710946012,7.0
II,pre_stage,38525,150,84,257624.47492055272,101.12652000982195,1717.4964994703514,223.28,3066.9580347684846,1.7857142857142858,12257112.808808185,0.02101836533114218,8.0
II,pre_stage,19303,89,47,228453.20479974544,82.25779546513641,2566.8899415701735,1022.5,4860.706485100966,1.8936170212765957,12257112.808808185,0.018638419043967253,9.0
II,pre_stage,99214,1743,271,181826.8638169859,1728.7936043315583,104.31833839184503,106.98,670.9478369630475,6.431734317343174,12257112.808808185,0.01483439588532805,10.0
II,0_to_90,J9306,117,36,1875032.9772693273,96.24627856297401,16025.922882643823,13665.48,52084.24936859243,3.25,11984113.407906875,0.15645988263363883,1.0
II,0_to_90,J9271,77,25,1755441.6427106848,70.66146148411951,22797.943411827076,24766.94,70217.66570842739,3.08,11984113.407906875,0.14648072685564542,2.0
II,0_to_90,J2505,199,65,1405294.04,159.0,7061.779095477387,7897.77,21619.90830769231,3.0615384615384613,11984113.407906875,0.11726307922560342,3.0
II,0_to_90,J9355,88,25,874917.2749585002,39.00085012740272,9942.241760892048,9480.48,34996.690998340004,3.52,11984113.407906875,0.07300642485419467,4.0
II,0_to_90,36561,237,118,616666.7065923058,235.53316530030762,2601.9692261278724,781.35,5225.989038917845,2.0084745762711864,11984113.407906875,0.05145701526701522,5.0
II,0_to_90,96413,834,169,408716.4042634998,412.59041424448515,490.06763101139063,549.0,2418.4402619141997,4.93491124260355,11984113.407906875,0.03410485117687863,6.0
II,0_to_90,J2506,127,43,268778.9581662,111.34262099660916,2116.369749340158,1991.48983766468,6250.673445725582,2.953488372093023,11984113.407906875,0.022427938473017547,7.0
II,0_to_90,77334,167,50,179129.86675601086,147.60709357681625,1072.6339326707237,475.92,3582.5973351202174,3.34,11984113.407906875,0.01494727733783165,8.0
II,0_to_90,J9070,343,68,158676.3728108331,107.00459024887027,462.613331810009,391.51,2333.4760707475457,5.044117647058823,11984113.407906875,0.013240560015573754,9.0
II,0_to_90,77412,498,29,155362.51026184118,414.49729812630403,311.9729121723718,337.98,5357.327940063489,17.17241379310345,11984113.407906875,0.012964038721407304,10.0
II,post_90,J9306,223,30,3074252.5758266957,171.20828605850133,13785.88599025424,12290.26,102475.08586088986,7.433333333333334,31619250.901784863,0.0972272425231035,1.0
II,post_90,J9354,218,8,2641810.8468537633,111.339784863898,12118.398380063134,11475.83452104235,330226.3558567204,27.25,31619250.901784863,0.08355070950477947,2.0
II,post_90,J9271,96,19,2004649.4767614994,91.44244976239673,20881.765382932284,23884.39,105507.86719797365,5.052631578947368,31619250.901784863,0.06339965114886197,3.0
II,post_90,J9355,211,26,1927751.0635637394,118.0004302119027,9136.260964757059,9146.47,74144.27167552843,8.115384615384615,31619250.901784863,0.06096763865632631,4.0
II,post_90,J1950,348,24,1586602.7424502503,345.2511406492861,4559.203282903019,3397.04,66108.44760209376,14.5,31619250.901784863,0.050178378588997145,5.0
II,post_90,96413,1334,154,659374.9574167893,538.0728402115066,494.28407602457963,543.76,4281.655567641488,8.662337662337663,31619250.901784863,0.020853591992578434,6.0
II,post_90,J2505,90,36,633945.78,68.0,7043.842000000001,7524.46,17609.605,2.5,31619250.901784863,0.02004936113031744,7.0
II,post_90,99214,5603,333,608156.146567769,5605.3568567806005,108.54116483451169,107.573005204412,1826.2947344377446,16.825825825825827,31619250.901784863,0.019233730377003946,8.0
II,post_90,19357,36,19,576178.6478695384,28.01910877540549,16004.96244082051,2822.3900000000003,30325.1919931336,1.894736842105263,31619250.901784863,0.01822240032375384,9.0
II,post_90,G0463,3181,303,492216.8005145778,3129.9855275974483,154.73649811838345,117.769822687031,1624.4778894870553,10.498349834983498,31619250.901784863,0.01556699752449837,10.0
III,pre_stage,J9271,30,6,849273.4420991556,28.05379490756411,28309.11473663852,21689.28,141545.5736831926,5.0,6247945.3682474205,0.1359284359967733,1.0
III,pre_stage,J9306,49,7,496828.2068169895,28.00504012499703,10139.351159530399,10298.05,70975.45811671279,7.0,6247945.3682474205,0.07951865413899294,2.0
III,pre_stage,J9355,54,5,374767.2,29.0,6940.133333333333,5941.505,74953.44,10.8,6247945.3682474205,0.059982470702224476,3.0
III,pre_stage,J2505,51,17,363300.5,38.0,7123.5392156862745,8640.41,21370.617647058825,3.0,6247945.3682474205,0.0581471953718295,4.0
III,pre_stage,36561,89,44,232897.37253012232,82.04592647840174,2616.8244104508126,732.57,5293.122102957325,2.022727272727273,6247945.3682474205,0.03727583370266427,5.0
III,pre_stage,19083,170,86,220821.29022100073,155.13558853327027,1298.9487660058867,224.3607923657745,2567.689421174427,1.9767441860465116,6247945.3682474205,0.03534302513962957,6.0
III,pre_stage,96413,360,36,173142.11478213558,182.1633044646391,480.9503188392655,516.8,4809.503188392655,10.0,6247945.3682474205,0.02771184838812104,7.0
III,pre_stage,J9264,10,1,171238.8483623788,7.01996307439211,17123.88483623788,19890.0788362463,171238.8483623788,10.0,6247945.3682474205,0.027407225618941693,8.0
III,pre_stage,J9354,9,1,164371.855099212,4.07437433686516,18263.539455468,17747.7954018307,164371.855099212,9.0,6247945.3682474205,0.026308145384011116,9.0
III,pre_stage,J2506,43,11,111953.52195725826,42.07406192274707,2603.5702780757733,2302.7581436695,10177.592905205296,3.909090909090909,6247945.3682474205,0.017918454045103435,10.0
III,0_to_90,J9271,59,19,1580228.0857658219,53.28807846831115,26783.526877386812,25711.2509522577,83169.89925083274,3.1052631578947367,5425087.520363087,0.2912815839070669,1.0
III,0_to_90,J2505,74,27,449331.5,63.0,6072.0472972972975,5330.85,16641.90740740741,2.740740740740741,5425087.520363087,0.08282474675540855,2.0
III,0_to_90,J9306,28,11,389261.7456079557,24.01246159164233,13902.205200284132,11394.825,35387.431418905064,2.5454545454545454,5425087.520363087,0.07175215960053367,3.0
III,0_to_90,J9355,40,8,216921.37911251182,25.0,5423.034477812796,3400.49,27115.172389063977,5.0,5425087.520363087,0.03998486260328457,4.0
III,0_to_90,36561,81,42,211083.6068334762,81.33003289676697,2605.970454734274,789.82,5025.800162701814,1.9285714285714286,5425087.520363087,0.03890879290724308,5.0
III,0_to_90,96413,416,75,198573.41510075252,244.6222487268316,477.33994014603974,301.680883525931,2647.6455346767,5.546666666666667,5425087.520363087,0.03660280398342081,6.0
III,0_to_90,J2506,43,16,133789.3904119183,38.07517308991743,3111.3811723701933,3053.04951183175,8361.836900744895,2.6875,5425087.520363087,0.024661240931089005,7.0
III,0_to_90,19357,5,3,85806.24363024041,2.0,17161.24872604808,22635.24,28602.081210080138,1.6666666666666667,5425087.520363087,0.015816563937110017,8.0
III,0_to_90,96375,410,70,83492.04228629796,276.90349197432766,203.639127527556,149.841637049853,1192.743461232828,5.857142857142857,5425087.520363087,0.015389989926044558,9.0
III,0_to_90,J9264,17,3,67018.81700211464,10.008640809604291,3942.2833530655666,5741.32350028991,22339.605667371547,5.666666666666667,5425087.520363087,0.01235349969020025,10.0
III,post_90,J9271,125,19,2996763.985277432,116.67017237085064,23974.111882219455,23884.39,157724.42027775958,6.578947368421052,19312018.448811643,0.15517611446056984,1.0
III,post_90,J9306,133,13,1525580.2983287838,92.37041701049755,11470.528558863036,11320.25,117352.33064067567,10.23076923076923,19312018.448811643,0.07899641885556814,2.0
III,post_90,J1823,6,1,1373191.027895139,3.03566095222922,228865.1713158565,182870.3421677845,1373191.027895139,6.0,19312018.448811643,0.0711055155386742,3.0
III,post_90,J9355,122,9,981207.2933113679,68.2737783326538,8042.6827320603925,8771.33,109023.03259015198,13.555555555555555,19312018.448811643,0.05080811702371515,4.0
III,post_90,J9354,76,3,566391.49,41.0,7452.519605263158,6203.39,188797.16333333333,25.333333333333332,19312018.448811643,0.029328445988246903,5.0
III,post_90,J0897,132,11,422157.63565875136,128.3298542394777,3198.163906505692,2512.958335190725,38377.966878068306,12.0,19312018.448811643,0.021859840118614252,6.0
III,post_90,96413,796,71,363095.04481783224,320.6470787000894,456.14955379124655,321.5000840909835,5114.014715744116,11.211267605633802,19312018.448811643,0.018801506729099835,7.0
III,post_90,J1950,71,6,322089.73182612995,68.90765163723474,4536.475096142675,3589.27426563482,53681.62197102166,11.833333333333334,19312018.448811643,0.016678201332494563,8.0
III,post_90,J9264,40,5,315987.29910151137,34.03898911745146,7899.6824775377845,7209.23917906794,63197.459820302276,8.0,19312018.448811643,0.016362209881844614,9.0
III,post_90,Q5116,23,2,309408.1019690171,18.00826211691684,13452.526172565962,17216.6267124004,154704.05098450856,11.5,19312018.448811643,0.01602153098543961,10.0
IV,pre_stage,J9355,215,9,1745337.41,76.0,8117.848418604651,8945.9,193926.37888888887,23.88888888888889,8568478.385335987,0.20369280652991478,1.0
IV,pre_stage,J9306,169,9,1629512.44,132.0,9642.085443786982,9484.15,181056.93777777778,18.77777777777778,8568478.385335987,0.19017524077422335,2.0
IV,pre_stage,J9395,152,10,476206.98244268866,132.14919902388374,3132.940673965057,3001.52,47620.69824426887,15.2,8568478.385335987,0.05557661010823868,3.0
IV,pre_stage,J9354,33,1,405379.05,23.0,12284.213636363636,10670.54,405379.05,33.0,8568478.385335987,0.047310506226375254,4.0
IV,pre_stage,J2505,48,11,346181.58999999997,33.0,7212.116458333333,8576.474999999999,31471.053636363635,4.363636363636363,8568478.385335987,0.04040175798219341,5.0
IV,pre_stage,J0897,95,16,286097.8738544246,91.07318894661154,3011.5565668886798,2132.84,17881.117115901536,5.9375,8568478.385335987,0.03338957758755041,6.0
IV,pre_stage,78815,159,47,208157.6793449056,156.3839282077761,1309.1677946220477,1211.47,4428.88679457246,3.382978723404255,8568478.385335987,0.024293424104464646,7.0
IV,pre_stage,96413,409,20,200752.1152248309,127.0,490.83646754237384,541.13,10037.605761241544,20.45,8568478.385335987,0.023429144148673604,8.0
IV,pre_stage,J9264,28,3,155459.33888737476,26.356354235314498,5552.11924597767,5806.547048925981,51819.77962912492,9.333333333333334,8568478.385335987,0.01814316753759062,9.0
IV,pre_stage,J9271,3,1,98172.8716317872,3.1416373072460297,32724.290543929066,32875.8643666403,98172.8716317872,3.0,8568478.385335987,0.011457445209851883,10.0
IV,0_to_90,J9355,77,16,521771.73,45.0,6776.256233766234,6533.03,32610.733125,4.8125,2881289.135772395,0.18108968083834018,1.0
IV,0_to_90,J9306,50,14,492180.59410469467,35.00661705180984,9843.611882093894,9798.474999999999,35155.75672176391,3.5714285714285716,2881289.135772395,0.17081957794310515,2.0
IV,0_to_90,J0897,49,24,203894.1104656664,48.12272413546822,4161.104295217681,4128.43,8495.587936069433,2.0416666666666665,2881289.135772395,0.07076489059505926,3.0
IV,0_to_90,J9317,8,1,177242.0939190506,6.11090550296814,22155.261739881324,22169.83595684365,177242.0939190506,8.0,2881289.135772395,0.06151485865077432,4.0
IV,0_to_90,J2505,11,3,97566.28,9.0,8869.661818181818,8429.95,32522.093333333334,3.6666666666666665,2881289.135772395,0.033862023352212146,5.0
IV,0_to_90,J9395,36,13,88028.42065339872,34.04422058574571,2445.2339070388534,2092.9,6771.416973338362,2.769230769230769,2881289.135772395,0.03055174836863455,6.0
IV,0_to_90,J9022,4,1,69099.63,4.0,17274.9075,17488.23,69099.63,4.0,2881289.135772395,0.023982192256271524,7.0
