final_stage_simple,provider_number,n_claims,n_patients,total_cost,total_util,mean_claim_cost,median_claim_cost,cost_per_patient,claims_per_patient,stage_total_cost,cost_share_within_stage,rank_within_stage
II,8094.0,5271,94,902450.7389990732,1129.9632814519093,171.2105367101258,0.0,9600.539776585885,56.07446808510638,55404886.747650266,0.01628828776619323,7.0
II,2246.0,1904,5,723333.3921819702,505.59269794367293,379.90199169221125,11.835,144666.67843639402,380.8,55404886.747650266,0.013055407828491716,8.0
II,2015.0,1059,5,536493.9577606189,322.7622888184366,506.6043038343899,46.7986758228348,107298.79155212377,211.8,55404886.747650266,0.009683152321999318,9.0
II,2228.0,3820,67,514180.0786692646,1126.0754028079118,134.60211483488604,10.77,7674.3295323770835,57.014925373134325,55404886.747650266,0.009280410246323104,10.0
III,2244.0,23503,115,14626547.59129815,5652.634254233878,622.3268345018997,0.0,127187.37035911434,204.37391304347827,30368870.0309908,0.4816296285101178,1.0
III,2236.0,10930,101,3992635.4370127646,3008.058147136596,365.291439799887,6.79104587591069,39531.043930819455,108.21782178217822,30368870.0309908,0.13147132023477867,2.0
III,2015.0,1840,5,2383230.04796042,480.9894963372629,1295.2337217176196,0.0,476646.00959208404,368.0,30368870.0309908,0.07847608572621843,3.0
III,2254.0,881,18,1429158.3698570116,268.5929212693175,1622.20019280024,80.6696171245549,79397.68721427843,48.94444444444444,30368870.0309908,0.04705997847132887,4.0
III,2283.0,3937,39,764395.3950540202,994.2142082371913,194.15681865735846,4.4199530314543,19599.881924462057,100.94871794871794,30368870.0309908,0.025170360117909248,5.0
III,2281.0,3641,37,475870.3365082972,845.5629808962751,130.69770296849688,3.10052759557895,12861.360446170194,98.4054054054054,30368870.0309908,0.015669675428248774,6.0
III,2278.0,1415,24,354190.71402025793,418.185495529369,250.3114586715604,16.41089803388,14757.946417510748,58.958333333333336,30368870.0309908,0.011662953335399495,7.0
III,2228.0,2130,28,341569.02604586753,648.1306938858903,160.36104509195658,10.06,12198.893787352412,76.07142857142857,30368870.0309908,0.011247340638532268,8.0
III,7996.0,208,1,267698.86,71.0,1287.0137499999998,122.21,267698.86,208.0,30368870.0309908,0.008814910127601681,9.0
III,8094.0,1476,34,233894.85405853053,263.4374816769246,158.4653482781372,0.0,6879.260413486192,43.411764705882355,30368870.0309908,0.007701796405985659,10.0
IV,2244.0,20858,82,20268489.00879651,5424.763725242927,971.7369358901385,0.0,247176.69522922573,254.3658536585366,36376933.63003885,0.5571797011515965,1.0
IV,2236.0,6174,61,4112639.573278371,1818.325352474899,666.1223798636817,9.930088179150514,67420.32087341591,101.21311475409836,36376933.63003885,0.11305624644190161,2.0
IV,2254.0,1232,22,1300467.6974828423,463.5916924207423,1055.5744297750343,63.46,59112.16806740192,56.0,36376933.63003885,0.03574978888294641,3.0
IV,2223.0,3236,16,1165531.9930981286,1067.3998205955322,360.1767593010286,0.0,72845.74956863304,202.25,36376933.63003885,0.03204041343758759,4.0
IV,2283.0,6900,30,1102440.2147336162,1824.8520251660907,159.7739441642922,6.34,36748.00715778721,230.0,36376933.63003885,0.030306023755208935,5.0
IV,2266.0,1920,6,729837.2864084955,544.4353058943237,380.1235866710914,5.22,121639.54773474926,320.0,36376933.63003885,0.020063188773168622,6.0
IV,7889.0,335,1,658234.6900000001,68.0,1964.8796716417912,0.0,658234.6900000001,335.0,36376933.63003885,0.018094837148572962,7.0
IV,2282.0,730,4,576851.3691043429,182.33710844988929,790.207354937456,0.0,144212.84227608572,182.5,36376933.63003885,0.015857613920157318,8.0
IV,7689.0,458,1,495693.75,92.0,1082.3007641921397,1.0,495693.75,458.0,36376933.63003885,0.013626595222162231,9.0
IV,7997.0,214,1,476444.74,100.0,2226.3772897196263,622.18,476444.74,214.0,36376933.63003885,0.013097440945560292,10.0
