final_stage_simple,stage_time_window,PROC_DESC,n_claims,n_patients,total_cost,total_util,mean_claim_cost,median_claim_cost,cost_per_patient,claims_per_patient,window_total_cost,cost_share_within_window,rank_within_window
II,pre_stage,BIOPSY/REMOVAL LYMPH NODES,161,87,264011.99993879563,106.12658849431175,1639.8260865763705,223.28,3034.620688951674,1.8505747126436782,11874123.873317115,0.02223422988975793,9.0
II,pre_stage,MAST SIMPLE COMPLETE,89,47,228453.20479974544,82.25779546513641,2566.8899415701735,1022.5,4860.706485100966,1.8936170212765957,11874123.873317115,0.019239584093704215,10.0
II,0_to_90,"INJECTION, PERTUZUMAB, 1 MG",117,36,1875032.9772693273,96.24627856297401,16025.922882643823,13665.48,52084.24936859243,3.25,11264866.138470912,0.16644964567007658,1.0
II,0_to_90,INJ PEMBROLIZUMAB,77,25,1755441.6427106848,70.66146148411951,22797.943411827076,24766.94,70217.66570842739,3.08,11264866.138470912,0.15583333358180212,2.0
II,0_to_90,"INJECTION, PEGFILGRASTIM 6MG",199,65,1405294.04,159.0,7061.779095477387,7897.77,21619.90830769231,3.0615384615384613,11264866.138470912,0.1247501765867192,3.0
II,0_to_90,TRASTUZUMAB INJECTION,88,25,874917.2749585002,39.00085012740272,9942.241760892048,9480.48,34996.690998340004,3.52,11264866.138470912,0.0776677915390889,4.0
II,0_to_90,INSERT TUNNELED CV CATH,237,118,616666.7065923058,235.53316530030762,2601.9692261278724,781.35,5225.989038917845,2.0084745762711864,11264866.138470912,0.05474247976070596,5.0
II,0_to_90,CHEMO IV INFUSION 1 HR,834,169,408716.4042634998,412.59041424448515,490.06763101139063,549.0,2418.4402619141997,4.93491124260355,11264866.138470912,0.03628240222648387,6.0
II,0_to_90,RADIATION TREATMENT DELIVERY,676,38,212046.4109614075,593.170987030466,313.6781227239756,279.0,5580.168709510724,17.789473684210527,11264866.138470912,0.018823695581898017,7.0
II,0_to_90,RADIATION TREATMENT AID(S),173,50,179669.37675601087,151.60709357681625,1038.5513107283866,413.28,3593.3875351202173,3.46,11264866.138470912,0.015949535000901405,8.0
II,0_to_90,CYCLOPHOSPHAMIDE 100 MG INJ,343,68,158676.3728108331,107.00459024887027,462.613331810009,391.51,2333.4760707475457,5.044117647058823,11264866.138470912,0.01408595280763556,9.0
II,0_to_90,TX/PRO/DX INJ NEW DRUG ADDON,812,161,151636.65694397234,399.31204316115765,186.74465140883294,154.457962193727,941.842589714114,5.043478260869565,11264866.138470912,0.013461026085886132,10.0
II,post_90,"INJECTION, PERTUZUMAB, 1 MG",223,30,3074252.5758266957,171.20828605850133,13785.88599025424,12290.26,102475.08586088986,7.433333333333334,29469575.079249207,0.10431954202120168,1.0
II,post_90,"INJ, ADO-TRASTUZUMAB EMT 1MG",218,8,2641810.8468537633,111.339784863898,12118.398380063134,11475.83452104235,330226.3558567204,27.25,29469575.079249207,0.08964536610213887,2.0
II,post_90,INJ PEMBROLIZUMAB,96,19,2004649.4767614994,91.44244976239673,20881.765382932284,23884.39,105507.86719797365,5.052631578947368,29469575.079249207,0.06802437671295299,3.0
II,post_90,TRASTUZUMAB INJECTION,211,26,1927751.0635637394,118.0004302119027,9136.260964757059,9146.47,74144.27167552843,8.115384615384615,29469575.079249207,0.0654149596110448,4.0
II,post_90,LEUPROLIDE ACETATE /3.75 MG,348,24,1586602.7424502503,345.2511406492861,4559.203282903019,3397.04,66108.44760209376,14.5,29469575.079249207,0.053838670499441486,5.0
II,post_90,OFFICE/OUTPATIENT VISIT EST,11496,341,1113410.9509371705,11481.36645520293,96.85203122278797,92.3,3265.1347534814386,33.712609970674485,29469575.079249207,0.037781710389206496,6.0
II,post_90,RADIATION TREATMENT DELIVERY,1819,90,660429.3758916276,1696.9151300766698,363.07277399209875,368.7,7338.10417657364,20.211111111111112,29469575.079249207,0.022410549664038566,7.0
II,post_90,CHEMO IV INFUSION 1 HR,1334,154,659374.9574167893,538.0728402115066,494.28407602457963,543.76,4281.655567641488,8.662337662337663,29469575.079249207,0.022374769763174613,8.0
II,post_90,"INJECTION, PEGFILGRASTIM 6MG",90,36,633945.78,68.0,7043.842000000001,7524.46,17609.605,2.5,29469575.079249207,0.02151187379849221,9.0
II,post_90,BREAST RECONSTRUCTION,58,28,609410.6898050419,46.07262119686844,10507.080858707619,2436.5299999999997,21764.66749303721,2.0714285714285716,29469575.079249207,0.02067931716579633,10.0
III,pre_stage,INJ PEMBROLIZUMAB,30,6,849273.4420991556,28.05379490756411,28309.11473663852,21689.28,141545.5736831926,5.0,5971197.45764581,0.14222832993266782,1.0
III,pre_stage,"INJECTION, PERTUZUMAB, 1 MG",49,7,496828.2068169895,28.00504012499703,10139.351159530399,10298.05,70975.45811671279,7.0,5971197.45764581,0.08320411614940428,2.0
III,pre_stage,TRASTUZUMAB INJECTION,54,5,374767.2,29.0,6940.133333333333,5941.505,74953.44,10.8,5971197.45764581,0.06276248652941965,3.0
III,pre_stage,"INJECTION, PEGFILGRASTIM 6MG",51,17,363300.5,38.0,7123.5392156862745,8640.41,21370.617647058825,3.0,5971197.45764581,0.06084215144063147,4.0
III,pre_stage,INSERT TUNNELED CV CATH,89,44,232897.37253012232,82.04592647840174,2616.8244104508126,732.57,5293.122102957325,2.022727272727273,5971197.45764581,0.03900346189890425,5.0
III,pre_stage,BX BREAST 1ST LESION US IMAG,170,86,220821.29022100073,155.13558853327027,1298.9487660058867,224.3607923657745,2567.689421174427,1.9767441860465116,5971197.45764581,0.03698107319131617,6.0
III,pre_stage,CHEMO IV INFUSION 1 HR,360,36,173142.11478213558,182.1633044646391,480.9503188392655,516.8,4809.503188392655,10.0,5971197.45764581,0.028996213240350316,7.0
III,pre_stage,PACLITAXEL PROTEIN BOUND,10,1,171238.8483623788,7.01996307439211,17123.88483623788,19890.0788362463,171238.8483623788,10.0,5971197.45764581,0.028677472077751558,8.0
III,pre_stage,"INJ, ADO-TRASTUZUMAB EMT 1MG",9,1,164371.855099212,4.07437433686516,18263.539455468,17747.7954018307,164371.855099212,9.0,5971197.45764581,0.027527452619866444,9.0
III,pre_stage,OFFICE/OUTPATIENT VISIT EST,1702,122,163842.85146101713,1716.2285624547205,96.2648951004801,93.0241160844128,1342.9741923034192,13.950819672131148,5971197.45764581,0.027438860065031816,10.0
III,0_to_90,INJ PEMBROLIZUMAB,59,19,1580228.0857658219,53.28807846831115,26783.526877386812,25711.2509522577,83169.89925083274,3.1052631578947367,5160942.470966581,0.3061898276633695,1.0
III,0_to_90,"INJECTION, PEGFILGRASTIM 6MG",74,27,449331.5,63.0,6072.0472972972975,5330.85,16641.90740740741,2.740740740740741,5160942.470966581,0.08706384590174393,2.0
III,0_to_90,"INJECTION, PERTUZUMAB, 1 MG",28,11,389261.7456079557,24.01246159164233,13902.205200284132,11394.825,35387.431418905064,2.5454545454545454,5160942.470966581,0.07542454654315334,3.0
III,0_to_90,TRASTUZUMAB INJECTION,40,8,216921.37911251182,25.0,5423.034477812796,3400.49,27115.172389063977,5.0,5160942.470966581,0.04203134995842825,4.0
III,0_to_90,INSERT TUNNELED CV CATH,82,42,211459.6368334762,82.33003289676697,2578.7760589448317,767.5250000000001,5034.753257939909,1.9523809523809523,5160942.470966581,0.040973066067499175,5.0
III,0_to_90,CHEMO IV INFUSION 1 HR,416,75,198573.41510075252,244.6222487268316,477.33994014603974,301.680883525931,2647.6455346767,5.546666666666667,5160942.470966581,0.03847619232685656,6.0
III,0_to_90,BREAST RECONSTRUCTION,7,4,88696.2636302404,4.0,12670.894804320056,2223.09,22174.0659075601,1.75,5160942.470966581,0.017186059354315702,7.0
III,0_to_90,TX/PRO/DX INJ NEW DRUG ADDON,410,70,83492.04228629796,276.90349197432766,203.639127527556,149.841637049853,1192.743461232828,5.857142857142857,5160942.470966581,0.016177673507502,8.0
III,0_to_90,RADIATION TREATMENT DELIVERY,251,13,72264.31116646483,222.04775997697513,287.90562217715075,257.17,5558.793166651141,19.307692307692307,5160942.470966581,0.014002153981175963,9.0
III,0_to_90,RADIATION THERAPY PLANNING,28,23,68768.29087618945,28.077368127928562,2456.0103884353375,189.02499999999998,2989.9256902691063,1.2173913043478262,5160942.470966581,0.013324754395743146,10.0
III,post_90,INJ PEMBROLIZUMAB,125,19,2996763.985277432,116.67017237085064,23974.111882219455,23884.39,157724.42027775958,6.578947368421052,16324605.908671394,0.18357343522060734,1.0
III,post_90,"INJECTION, PERTUZUMAB, 1 MG",133,13,1525580.2983287838,92.37041701049755,11470.528558863036,11320.25,117352.33064067567,10.23076923076923,16324605.908671394,0.0934528102463054,2.0
III,post_90,TRASTUZUMAB INJECTION,122,9,981207.2933113679,68.2737783326538,8042.6827320603925,8771.33,109023.03259015198,13.555555555555555,16324605.908671394,0.060106032500923334,3.0
III,post_90,"INJ, ADO-TRASTUZUMAB EMT 1MG",76,3,566391.49,41.0,7452.519605263158,6203.39,188797.16333333333,25.333333333333332,16324605.908671394,0.03469556895699032,4.0
III,post_90,OFFICE/OUTPATIENT VISIT EST,4833,128,481757.16301908344,4826.488732161865,99.68077033293677,93.9337844137309,3763.7278360865894,37.7578125,16324605.908671394,0.029511105242864148,5.0
III,post_90,DENOSUMAB INJECTION,132,11,422157.63565875136,128.3298542394777,3198.163906505692,2512.958335190725,38377.966878068306,12.0,16324605.908671394,0.025860203794231096,6.0
III,post_90,CHEMO IV INFUSION 1 HR,796,71,363095.04481783224,320.6470787000894,456.14955379124655,321.5000840909835,5114.014715744116,11.211267605633802,16324605.908671394,0.022242193584897593,7.0
III,post_90,LEUPROLIDE ACETATE /3.75 MG,71,6,322089.73182612995,68.90765163723474,4536.475096142675,3589.27426563482,53681.62197102166,11.833333333333334,16324605.908671394,0.019730322044407857,8.0
III,post_90,RADIATION TREATMENT DELIVERY,760,40,316864.1913837658,644.2250839764117,416.9265676102181,362.355,7921.604784594145,19.0,16324605.908671394,0.019410219956088014,9.0
III,post_90,PACLITAXEL PROTEIN BOUND,40,5,315987.29910151137,34.03898911745146,7899.6824775377845,7209.23917906794,63197.459820302276,8.0,16324605.908671394,0.019356503971324875,10.0
IV,pre_stage,TRASTUZUMAB INJECTION,215,9,1745337.41,76.0,8117.848418604651,8945.9,193926.37888888887,23.88888888888889,8443550.838750169,0.20670656733540177,1.0
