final_stage_simple,stage_time_window,provider_number,n_claims,n_patients,total_cost,total_util,mean_claim_cost,median_claim_cost,cost_per_patient,claims_per_patient,window_total_cost,cost_share_within_window,rank_within_window
I,0_to_90,2278.0,1425,70,444689.88518081995,360.42262225393324,312.0630773198736,0.0,6352.712645440285,20.357142857142858,25614978.634744853,0.017360540936685792,9.0
I,0_to_90,8094.0,1584,67,418403.4601712854,218.49881025800443,264.1435985929832,0.0,6244.827763750528,23.64179104477612,25614978.634744853,0.01633432789999487,10.0
I,post_90,2244.0,53153,957,26860882.74238548,17112.243787604177,505.3502670100555,0.0,28067.798058918997,55.54127481713689,72015849.26045544,0.37298571103757067,1.0
I,post_90,2236.0,26545,739,7920511.873515504,8376.79042636966,298.38055654607285,10.7322274349837,10717.878042646149,35.920162381596754,72015849.26045544,0.10998289897088986,2.0
I,post_90,2223.0,13736,160,4809716.271888085,4454.908890770956,350.15406755154953,0.0,30060.72669930053,85.85,72015849.26045544,0.0667869131764741,3.0
I,post_90,2281.0,16740,338,2068986.4373991906,4137.930625820133,123.59536663077603,7.93,6121.261649110032,49.52662721893491,72015849.26045544,0.028729598534850437,4.0
I,post_90,2015.0,3578,35,1897020.8384616587,995.7997282034481,530.1902846455167,33.81,54200.59538461882,102.22857142857143,72015849.26045544,0.026341713080419507,5.0
I,post_90,2283.0,8793,199,1870231.460449179,2422.1158578231157,212.69549191961548,7.23150767968052,9398.148042458186,44.185929648241206,72015849.26045544,0.02596972027206433,6.0
I,post_90,2278.0,5184,144,1741771.7040774045,1522.5289122309111,335.9899120519685,7.462856297160605,12095.636833870863,36.0,72015849.26045544,0.0241859496480843,7.0
I,post_90,8094.0,10201,241,1430396.8290973043,1959.2497327080323,140.2212360648274,7.23211658089024,5935.256552270972,42.32780082987552,72015849.26045544,0.01986225037663686,8.0
I,post_90,2228.0,9672,158,1139862.5481338107,3029.9004594308053,117.85179364493494,10.1855801025875,7214.319924897536,61.21518987341772,72015849.26045544,0.015827940097065823,9.0
I,post_90,2266.0,7149,57,706441.8928249505,2137.5375522017375,98.81688247656322,9.92,12393.717417981588,125.42105263157895,72015849.26045544,0.00980953359683372,10.0
II,pre_stage,2244.0,12768,170,4966309.034566492,2649.18996812224,388.96530659198714,0.0,29213.582556273483,75.10588235294118,11545676.394135104,0.43014448569589603,1.0
II,pre_stage,2236.0,4670,162,1622858.8331184392,1377.0684840422796,347.50724477910904,4.5600000000000005,10017.647118015057,28.82716049382716,11545676.394135104,0.14055987520512944,2.0
II,pre_stage,2281.0,2647,70,458007.14204874955,546.6724698498848,173.02876541320344,4.06,6542.9591721249935,37.81428571428572,11545676.394135104,0.039669147689034914,3.0
II,pre_stage,2223.0,1469,25,401896.86857649393,301.4372026290005,273.5853428022423,0.0,16075.874743059758,58.76,11545676.394135104,0.03480929612583346,4.0
