final_stage_simple,stage_time_window,DRUG_NM,n_claims,n_patients,total_cost,total_util,mean_claim_cost,median_claim_cost,cost_per_patient,claims_per_patient,window_total_cost,cost_share_within_window,rank_within_window
I,post_90,ELIQUIS,1391,104,988470.2630243561,57355.60275413742,710.6184493345479,547.64,9504.521759849578,13.375,20793071.959983498,0.047538442848977694,2.0
I,post_90,KISQALI,59,11,906870.0417096113,1653.1085117582809,15370.67867304426,15620.4334928997,82442.73106451012,5.363636363636363,20793071.959983498,0.04361404815290847,3.0
I,post_90,JAKAFI,61,1,884727.6593794867,1830.097411426207,14503.732120975192,15271.79,884727.6593794867,61.0,20793071.959983498,0.04254915584778214,4.0
I,post_90,OZEMPIC,744,59,863419.1626878004,27862.01921302936,1160.509627268549,923.318996336597,14634.223096403395,12.610169491525424,20793071.959983498,0.04152436755614852,5.0
I,post_90,PROMACTA,69,2,665260.6155259566,2170.0192981141895,9641.458196028358,5902.76,332630.3077629783,34.5,20793071.959983498,0.03199434007664948,6.0
I,post_90,ENBREL,72,2,587577.6584522321,2558.1688655182147,8160.800811836558,7205.2,293788.82922611607,36.0,20793071.959983498,0.028258338141811463,7.0
I,post_90,MOUNJARO,355,33,398548.74900514685,11125.591569523272,1122.6725324088643,1019.20472759542,12077.234818337784,10.757575757575758,20793071.959983498,0.01916738179775256,8.0
I,post_90,JARDIANCE,402,43,378436.7928045783,20811.805305232145,941.3850567278067,608.874583489511,8800.8556466181,9.348837209302326,20793071.959983498,0.01820013865834179,9.0
I,post_90,TRULICITY,284,24,337584.0086805265,11135.990074044596,1188.6760869032623,894.1,14066.000361688604,11.833333333333334,20793071.959983498,0.016235408088338787,10.0
II,pre_stage,AUBAGIO,49,1,298655.51,1376.0,6095.010408163265,6072.2,298655.51,49.0,1071258.0568344626,0.27878951116831613,1.0
II,pre_stage,ENBREL SURECLICK,5,1,33836.85,140.0602934950686,6767.37,6767.37,33836.85,5.0,1071258.0568344626,0.03158608682952354,2.0
II,pre_stage,LYRICA,66,2,30031.77,2160.0,455.0268181818182,398.53,15015.885,33.0,1071258.0568344626,0.028034113543792646,3.0
II,pre_stage,LATUDA,12,1,27950.19,600.0,2329.1825,1256.17,27950.19,12.0,1071258.0568344626,0.02609099630260147,4.0
II,pre_stage,ELIQUIS,42,7,26609.636248962397,1794.175311896032,633.562767832438,404.385,3801.376606994628,6.0,1071258.0568344626,0.02483961364789463,5.0
II,pre_stage,EXEMESTANE,68,11,25390.58,3420.0,373.3908823529412,239.18,2308.2345454545457,6.181818181818182,1071258.0568344626,0.023701646711557486,6.0
II,pre_stage,HUMIRA(CF) PEN,4,1,25106.03,112.0005795027934,6276.5075,6153.44,25106.03,4.0,1071258.0568344626,0.02343602443858169,7.0
II,pre_stage,DUPIXENT PEN,5,1,17976.7704635123,126.0097435793194,3595.35409270246,3595.35909608969,17976.7704635123,5.0,1071258.0568344626,0.01678098974268922,8.0
II,pre_stage,WEGOVY,9,2,16567.45809206322,364.0832912819414,1840.8286768959135,1320.34,8283.72904603161,4.5,1071258.0568344626,0.01546542216076264,9.0
II,pre_stage,VICTOZA 3-PAK,16,4,16183.68,630.0,1011.48,865.05,4045.92,4.0,1071258.0568344626,0.015107172260456382,10.0
II,0_to_90,FOLLISTIM AQ,1,1,10692.0,10.0,10692.0,10692.0,10692.0,1.0,181743.13156168628,0.058830283753369676,1.0
II,0_to_90,NEUPOGEN,2,1,10287.68,42.0,5143.84,5143.84,10287.68,2.0,181743.13156168628,0.056605605458648164,2.0
II,0_to_90,ELIQUIS,13,7,9781.058981549399,570.3682310308723,752.3891524268768,537.321366730628,1397.2941402213426,1.8571428571428572,181743.13156168628,0.05381803921558138,3.0
II,0_to_90,DUPIXENT PEN,2,1,7622.122657376251,56.00369328477019,3811.0613286881253,3811.0613286881253,7622.122657376251,2.0,181743.13156168628,0.041938986039696306,4.0
II,0_to_90,ZARXIO,2,1,6172.76,28.0,3086.38,3086.38,6172.76,2.0,181743.13156168628,0.03396419962041248,5.0
II,0_to_90,GONAL-F RFF REDI-JECT,1,1,5691.86,18.0,5691.86,5691.86,5691.86,1.0,181743.13156168628,0.0313181573966007,6.0
II,0_to_90,LATUDA,1,1,5426.19,90.0,5426.19,5426.19,5426.19,1.0,181743.13156168628,0.02985636900483511,7.0
II,0_to_90,CAPECITABINE,5,2,4850.08,119.0,970.016,1095.32,2425.04,2.5,181743.13156168628,0.02668645553933251,8.0
II,0_to_90,SANCUSO,3,1,4569.860000000001,63.0,1523.2866666666669,1534.96,4569.860000000001,3.0,181743.13156168628,0.025144609101494013,9.0
II,0_to_90,OZEMPIC,3,2,4442.36753649745,140.0047483384183,1480.7891788324832,924.201999158389,2221.183768248725,1.5,181743.13156168628,0.024443110990357536,10.0
II,post_90,VERZENIO,193,14,2795136.993458738,5365.534932198896,14482.57509564113,14697.07,199652.64238990986,13.785714285714286,8265593.542247825,0.3381653089003215,1.0
II,post_90,LYNPARZA,44,5,576300.8602984088,1321.1905190871335,13097.746824963835,14511.05,115260.17205968176,8.8,8265593.542247825,0.06972286471053402,2.0
II,post_90,NERLYNX,27,2,439879.4682463086,748.3300556337722,16291.83215727069,13601.83,219939.7341231543,13.5,8265593.542247825,0.05321813442651858,3.0
II,post_90,OZEMPIC,238,22,283987.050782355,9367.424439120956,1193.2229024468697,923.2,12908.502308288864,10.818181818181818,8265593.542247825,0.03435773236741143,4.0
II,post_90,ELIQUIS,293,28,200198.40414180452,11525.777609037425,683.2710038969437,554.494394648196,7149.943005064447,10.464285714285714,8265593.542247825,0.02422069305955258,5.0
II,post_90,CAMZYOS,19,1,160801.57420608975,570.3123064241408,8463.240747688935,8484.13551989803,160801.57420608975,19.0,8265593.542247825,0.01945432876467814,6.0
II,post_90,IBRANCE,11,3,146557.8922969522,308.0684669302787,13323.444754268381,12478.38,48852.630765650734,3.6666666666666665,8265593.542247825,0.017731079026309805,7.0
