final_stage_simple,stage_time_window,HCPCS,n_claims,n_patients,total_cost,total_util,mean_claim_cost,median_claim_cost,cost_per_patient,claims_per_patient,window_total_cost,cost_share_within_window,rank_within_window
II,pre_stage,J9271,13,2,280474.2383024826,12.01919962707799,21574.941407883274,20898.43,140237.1191512413,6.5,8838460.04151522,0.03173338307635767,6.0
II,pre_stage,38525,136,81,250902.16492055272,88.12652000982195,1844.8688597099465,227.155,3097.557591611762,1.6790123456790123,8838460.04151522,0.028387543049585292,7.0
II,pre_stage,19303,79,45,215280.39070169695,70.10673970563025,2725.068236730341,1025.97,4784.008682259932,1.7555555555555555,8838460.04151522,0.024357228486693524,8.0
II,pre_stage,78815,123,55,169264.47688358312,123.02611003912124,1376.1339584031148,1238.62,3077.535943337875,2.2363636363636363,8838460.04151522,0.019150901411391717,9.0
II,pre_stage,19083,96,86,160535.9118651213,82.1131409814048,1672.2490819283469,1200.7150000000001,1866.696649594434,1.1162790697674418,8838460.04151522,0.018163335141084133,10.0
II,0_to_90,J9306,117,36,1875032.9772693273,96.24627856297401,16025.922882643823,13665.48,52084.24936859243,3.25,11248545.238427537,0.16669115316919356,1.0
II,0_to_90,J9271,74,24,1681140.822710685,67.66146148411951,22718.119225820068,23711.60093839345,70047.53427961188,3.0833333333333335,11248545.238427537,0.1494540660215806,2.0
II,0_to_90,J2505,193,64,1370007.46,153.0,7098.484248704663,7897.77,21406.3665625,3.015625,11248545.238427537,0.12179419035625597,3.0
II,0_to_90,J9355,88,25,874917.2749585002,39.00085012740272,9942.241760892048,9480.48,34996.690998340004,3.52,11248545.238427537,0.07778048240136759,4.0
II,0_to_90,36561,216,118,596376.9266576056,214.50584275820017,2761.0042900815074,1967.176618697315,5054.041751335641,1.8305084745762712,11248545.238427537,0.05301813825847,5.0
II,0_to_90,96413,824,167,402118.28584759164,406.5901707919304,488.0076284558151,547.4,2407.8939272310877,4.934131736526946,11248545.238427537,0.03574847034209064,6.0
II,0_to_90,J2506,127,43,268778.9581662,111.34262099660916,2116.369749340158,1991.48983766468,6250.673445725582,2.953488372093023,11248545.238427537,0.02389455280385869,7.0
II,0_to_90,77334,167,50,179129.86675601086,147.60709357681625,1072.6339326707237,475.92,3582.5973351202174,3.34,11248545.238427537,0.01592471408160971,8.0
II,0_to_90,J9070,340,67,157091.1928108331,106.00459024887027,462.0329200318621,391.51,2344.6446688184046,5.074626865671642,11248545.238427537,0.013965467487668947,9.0
II,0_to_90,77412,498,29,155362.51026184118,414.49729812630403,311.9729121723718,337.98,5357.327940063489,17.17241379310345,11248545.238427537,0.013811786943887483,10.0
II,post_90,J9306,223,30,3074252.5758266957,171.20828605850133,13785.88599025424,12290.26,102475.08586088986,7.433333333333334,23127978.896873787,0.13292352909584515,1.0
